Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ейбоженко,Костянтин,Тарасович,Чоловіча,1952-05-16,Біолог,місто Ходорів,"парк Бориса Літвака, буд. 3 кв. 3, Світловодськ, 49899",237-43-38,deriazhnyivenedykt@example.org
Олійник,Ада,Вікторівна,Жіноча,1996-05-20,Футболіст,місто Герца,"провулок Лютневий 2-й, буд. 8 кв. 742, Золочів, 34292",+380 12 623 39 26,viktor91@example.com
Калениченко,Венедикт,Степанович,Чоловіча,1964-11-27,Перекладач,селище Збараж,"сквер Ольги Благовидової, буд. 762 кв. 23, Баранівка, 67871",+380 54 014 14 37,mariana91@example.org
Дубас,Августин,Григорович,Чоловіча,1975-10-29,Сантехнік,селище Мелітополь,"проспект Щоглова, буд. 1, Валки, 18931",+380 93 533 65 29,vitaliicharnysh@example.org
Арсенич,Алла,Сергіївна,Жіноча,1953-10-10,Фермер,місто Антрацит,"парк Мацієвської, буд. 70, Сокологірськ, 83514",+380 (90) 869-79-01,vira86@example.com
Ящук,Альбіна,Олегівна,Жіноча,1972-11-14,Кінолог,село Київ,"площа Іони Отаманського, буд. 758 кв. 58, Фастів, 32130",063 074-09-30,stefandziuba@example.com
Андрощук,Валерій,Степанович,Чоловіча,1970-05-01,Електрослюсар,місто Кальміуське,"узвіз Вишнева, буд. 1 кв. 0, Соснівка, 45452",384 35 92,xavdieienko@example.net
Вітрук,Олег,Володимирович,Чоловіча,2002-04-24,Драматург,селище Ніжин,"парк Овідіопольська дуга, буд. 9, Кам'янка-Бузька, 95125",923 38 79,omykhailychenko@example.org
Юрчишина,Емілія,Юріївна,Жіноча,2007-05-13,Менеджер,село Прип'ять,"провулок Садова 2-га, буд. 914, Довжанськ, 41467",932-78-61,pavlo41@example.com
Ґжицький,Марко,Володимирович,Чоловіча,1978-10-27,Бізнесмен,селище Антрацит,"проспект Лінія 41-ша, буд. 257 кв. 690, Багачеве, 49876",+380 41 775-74-08,sviatoslav51@example.com
Гук,Святослава,Миколаївна,Жіноча,1985-01-15,Електрик,селище Новодністровськ,"провулок Виноградна 1-ша, буд. 2, Перещепине, 30618",058 615-37-43,csamoilenko@example.org
Жадан,Феофан,Романович,Чоловіча,2006-10-07,Геолог,селище Чистякове,"провулок Садова 1-ша, буд. 1, Дубно, 02390",+380 (50) 517-73-49,onyshchenkonazar@example.com
Тимчук,Григорій,Володимирович,Чоловіча,1991-12-16,Краєзнавець,селище Бердичів,"парк Картамишевська, буд. 1, Білопілля, 22607",+380 (69) 781-22-89,lesykirena@example.org
Височан,Тимофій,Вікторович,Чоловіча,1951-06-20,Археолог,місто Теребовля,"набережна Чернігівська, буд. 670, Носівка, 36784",589 79 48,viarema@example.net
Забара,Омелян,Васильович,Чоловіча,1972-02-01,Дипломат,село Токмак,"шосе Вертелецького, буд. 2, Теребовля, 23508",081 26 46,kbabko@example.net
Онуфрієнко,Олекса,Вікторович,Чоловіча,1997-07-15,Астроном,селище Марганець,"площа Шахтинський, буд. 79, Козятин, 51557",+380 25 908 03 09,zynovii56@example.net
Іваненко,Вʼячеслав,Юрійович,Чоловіча,1965-12-09,Науковець,місто Новоукраїнка,"провулок Райдужна, буд. 262 кв. 700, Херсон, 33368",673 99 85,bdzhus@example.com
Баштан,Опанас,Богданович,Чоловіча,1947-11-16,Детектив,місто Іллінці,"сквер Топольського, буд. 0, Люботин, 32623",+380 (75) 118-83-89,okseniia21@example.org
Лупій,Макар,Сергійович,Чоловіча,1966-11-10,Маркетолог,селище Снятин,"провулок Маразліївська, буд. 96 кв. 26, Глухів, 78992",948 71 78,artem80@example.com
Андрієвич,Орест,Андрійович,Чоловіча,1999-01-21,Гінеколог,село Лиман,"узвіз Отамана Головатого, буд. 7 кв. 903, Гуляйполе, 07394",121 66 25,andriichuktymofii@example.com
Малишко,Остап,Тарасович,Чоловіча,1960-04-23,Вчитель,селище Радивилів,"площа Ф. Пішеніна, буд. 99 кв. 065, Монастирище, 37208",747-83-31,obakumenko@example.org
Батіг,Франц,Анатолійович,Чоловіча,1952-03-14,Візажист,місто Бобринець,"шосе Всеволода Змієнка, буд. 350, Привілля, 67792",+380 (00) 650-50-01,biaremkiv@example.com
Дробаха,Герман,Михайлович,Чоловіча,1979-01-14,Кінорежисер,хутір Чуднів,"вулиця Зоряна, буд. 8, Снятин, 66815",671-32-72,valentyn82@example.net
Дергач,Назар,Сергійович,Чоловіча,1993-08-15,Ботанік,хутір Новоград-Волинський,"узвіз Сашка Хорошенка, буд. 6, Малин, 57856",010 867 71 34,leonidcharnysh@example.net
Штепа,Нестор,Михайлович,Чоловіча,1962-11-13,Кінорежисер,хутір Вінниця,"вулиця Усатівська, буд. 5 кв. 19, Березне, 65073",+380 19 203-70-17,serhii56@example.org
Абраменко,Надія,Романівна,Жіноча,1991-04-25,Пілот,місто Ніжин,"шосе Манежний, буд. 572, Долинська, 05787",760-02-95,gtymchenko@example.org
Хмара,Алла,Юріївна,Жіноча,1959-11-16,Парфюмер,хутір Вижниця,"шосе Пересипський 2-й, буд. 12 кв. 752, Кремінна, 75234",088 211 03 44,qzatovkaniuk@example.com
Стельмах,Світлана,Петрівна,Жіноча,1966-04-07,Астрофізик,село Погребище,"проспект Гобеленова, буд. 3 кв. 65, Судак, 66637",295-32-93,abrahamovskaiukhym@example.net
Дерегус,Климент,Богданович,Чоловіча,1956-05-19,Епідеміолог,село Помічна,"проспект Пішонівська, буд. 2, Дунаївці, 41481",765-72-00,stefan67@example.com
Шевченко,Миколай,Петрович,Чоловіча,1949-01-28,Дизайнер,місто Вільнянськ,"парк Авіаційна, буд. 20 кв. 8, Суми, 64339",+380 08 616-63-11,lukian93@example.com
Чуприна,Ірина,Романівна,Жіноча,1951-07-28,Історик,місто Луганськ,"набережна Панаса Мирного, буд. 44 кв. 909, Охтирка, 64198",+380 55 607-78-80,romannosachenko@example.net
Теліженко,Роман,Сергійович,Чоловіча,1971-04-05,Фотограф,село Запоріжжя,"площа Східчастий 3-й, буд. 7, Стебник, 22294",+380 83 809-36-10,solomiiakonoplia@example.net
Годунок,Борислав,Сергійович,Чоловіча,1948-10-27,Локсмайстер,селище Мар'їнка,"провулок Шевальових, буд. 67, Вільногірськ, 05479",008 272-43-71,mariia09@example.net
